,time_(s),rew_action_rate,rew_balance,rew_forward_progress,rew_height,rew_motor_effort,rew_smoothness,rew_stability,rew_termination,rew_total,rew_success,x,y,z,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z,global_linear_x,global_linear_y,global_linear_z,global_angular_x,global_angular_y,global_angular_z,front_left,front_right,rear_left,rear_right,position_FL_hip_joint,position_FL_thigh_joint,position_FL_calf_joint,position_FR_hip_joint,position_FR_thigh_joint,position_FR_calf_joint,position_RL_hip_joint,position_RL_thigh_joint,position_RL_calf_joint,position_RR_hip_joint,position_RR_thigh_joint,position_RR_calf_joint,torque_FL_hip_joint,torque_FL_thigh_joint,torque_FL_calf_joint,torque_FR_hip_joint,torque_FR_thigh_joint,torque_FR_calf_joint,torque_RL_hip_joint,torque_RL_thigh_joint,torque_RL_calf_joint,torque_RR_hip_joint,torque_RR_thigh_joint,torque_RR_calf_joint,out_of_limits,rollout
40,0.8,-0.0,7.7,2.03,0.05,-0.0,-7.35,20.61,0.0,23.03,41.0,6.57,12.19,0.75,2.16,0.37,0.85,-0.68,-0.35,-1.26,1.21,0.57,-0.63,1.21,0.57,-0.63,0.0,71.1,0.0,0.0,13.9,79.0,-136.6,-18.0,48.1,-101.5,7.2,75.2,-48.0,-36.5,80.5,-100.4,-5.5,-17.4,17.4,20.5,-14.0,19.4,4.6,-6.6,22.8,-3.9,-0.8,18.8,1,0
42,0.84,-0.0,8.06,2.19,-0.22,-0.0,-7.96,21.68,0.0,23.74,43.0,6.48,12.16,0.73,2.37,-0.02,0.92,-8.18,-1.7,-0.55,6.77,2.28,4.37,6.77,2.28,4.37,76.4,10.6,0.0,0.0,21.5,58.5,-110.5,3.2,34.0,-71.6,3.6,96.7,-48.0,-59.9,75.5,-48.0,-19.6,-18.7,22.9,15.5,5.8,-4.2,14.6,-18.3,22.8,2.5,-1.3,16.4,3,0
44,0.88,-0.0,8.41,2.35,-0.57,-0.0,-8.33,22.74,0.0,24.59,45.0,6.37,12.14,0.71,2.49,0.05,1.04,-1.44,-0.98,-0.74,1.24,1.31,0.6,1.24,1.31,0.6,8.1,81.0,42.4,0.0,25.1,32.4,-59.9,21.7,26.4,-48.0,44.7,69.2,-48.0,-59.0,68.9,-48.0,-18.7,-5.7,18.1,12.2,17.6,20.1,-2.8,-8.1,22.8,8.7,-4.3,14.2,4,0
46,0.92,-0.0,8.76,2.51,-1.0,-0.0,-8.6,23.79,0.0,25.45,47.0,6.27,12.1,0.68,2.63,0.39,0.6,5.73,0.18,1.28,-5.46,-1.27,-1.76,-5.46,-1.27,-1.76,0.0,38.1,86.8,0.0,-15.2,5.0,-48.0,21.1,33.7,-48.0,55.1,62.0,-48.0,-58.3,67.2,-48.0,-0.7,-13.5,22.8,4.3,18.3,22.8,-13.7,-5.3,22.8,-5.9,2.9,15.9,6,0
48,0.96,-0.0,9.1,2.67,-1.61,-0.0,-8.86,24.87,0.0,26.16,49.0,6.18,12.07,0.64,2.9,0.4,0.26,3.08,0.75,-1.28,-1.85,-0.49,-2.83,-1.85,-0.49,-2.83,0.0,33.3,65.9,0.0,-60.0,-23.9,-48.0,6.1,39.9,-48.0,47.2,61.0,-48.0,-59.5,69.4,-48.5,-3.2,11.0,22.8,-18.2,21.2,22.7,-18.8,-7.8,22.9,-10.8,-4.5,-3.3,6,0
50,1.0,-0.0,9.43,2.83,-2.45,-0.0,-9.17,25.96,0.0,26.59,51.0,6.07,12.04,0.57,3.12,0.64,-0.0,7.01,1.83,-0.88,-5.29,-1.92,-4.65,-5.29,-1.92,-4.65,0.0,26.8,35.7,150.3,-59.9,-19.4,-48.0,-34.6,55.3,-48.0,19.7,64.6,-48.0,-60.0,58.6,-66.3,-2.0,10.0,22.8,0.6,22.4,22.8,-7.3,-2.2,22.3,-4.9,2.7,-8.8,5,0
52,1.04,-0.0,9.76,2.99,-3.59,-0.0,-9.44,27.06,0.0,26.77,53.0,5.98,12.02,0.5,3.1,0.28,-0.02,-2.9,2.88,0.18,2.27,-2.83,1.89,2.27,-2.83,1.89,0.0,0.0,82.2,124.0,-54.1,5.4,-48.0,-56.7,104.2,-48.0,23.6,60.9,-48.0,-60.0,69.9,-82.4,-5.6,7.6,22.7,-1.5,10.1,22.8,-19.9,17.7,22.6,-6.0,12.1,-16.3,6,0
54,1.08,-0.0,10.09,3.15,-5.06,-0.01,-9.83,28.13,-0.5,25.97,55.0,5.87,12.0,0.41,3.41,0.7,0.23,0.55,2.37,-1.99,1.12,-2.19,-1.97,1.12,-2.19,-1.97,0.0,49.9,1.8,0.0,-60.0,39.6,-48.0,-58.8,103.9,-48.0,10.3,75.6,-48.0,-59.6,103.9,-128.5,1.6,6.4,21.4,0.1,22.1,22.8,-8.9,17.9,22.4,-6.3,8.2,-2.4,6,0
0,0.0,0.0,0.2,0.0,0.03,-0.0,-0.15,0.3,0.0,0.37,1.0,7.54,12.53,1.14,0.04,-0.27,0.09,0.37,-1.51,-0.18,1.49,-0.42,-0.2,1.49,-0.42,-0.2,0.0,0.0,0.0,0.0,4.6,31.8,-79.7,-6.1,57.8,-89.9,4.7,37.9,-103.9,-6.4,41.6,-70.9,1.9,-1.4,6.0,-1.2,-5.4,-2.2,-0.2,2.1,-3.9,0.5,-0.7,2.9,0,1
2,0.04,-0.0,0.59,0.0,0.1,-0.0,-0.29,0.88,0.0,1.28,3.0,7.55,12.53,1.14,-0.06,-0.28,-0.33,-0.47,-0.61,-0.26,0.29,-0.69,-0.3,0.29,-0.69,-0.3,0.0,0.0,0.0,0.0,5.6,44.4,-83.3,-4.3,53.4,-86.9,4.1,53.6,-89.2,-6.0,54.7,-80.9,-0.3,-0.8,-0.1,0.5,-0.6,-3.6,0.4,-4.4,-1.3,1.4,-3.4,-2.2,0,1
4,0.08,-0.0,0.98,0.0,0.17,-0.0,-0.58,1.47,0.0,2.03,5.0,7.56,12.52,1.12,-0.14,-0.29,-0.67,0.08,0.71,-0.04,-0.56,0.44,-0.03,-0.56,0.44,-0.03,0.0,0.0,0.0,0.0,5.0,52.3,-86.4,-0.3,54.8,-118.4,3.4,44.2,-79.1,1.2,58.3,-93.2,6.1,-1.3,-5.5,3.2,-8.2,-3.8,-5.8,7.2,-0.9,-4.3,-1.4,3.0,0,1
6,0.12,-0.0,1.38,0.0,0.22,-0.0,-0.84,2.65,0.0,3.42,7.0,7.57,12.51,1.08,-0.17,-0.36,-0.93,1.81,1.24,-0.09,-0.13,2.19,0.05,-0.13,2.19,0.05,0.0,0.0,71.6,0.0,8.7,51.9,-91.9,2.7,38.2,-156.0,0.4,43.5,-88.2,0.5,54.2,-93.1,-1.6,-7.3,-1.1,3.8,-0.9,0.1,2.6,3.7,14.9,-0.5,-5.2,1.1,1,1
8,0.16,-0.0,1.77,0.0,0.28,-0.0,-1.09,3.82,0.0,4.78,9.0,7.58,12.5,1.04,-0.06,-0.58,-0.85,3.48,3.62,0.11,-1.3,4.82,0.52,-1.3,4.82,0.52,0.0,0.0,83.4,67.7,7.4,41.0,-101.1,13.9,28.3,-156.0,8.3,33.9,-75.5,4.2,48.8,-97.3,-0.0,9.1,-1.9,3.7,11.4,-18.3,-1.2,0.9,16.3,-4.0,-3.6,10.7,1,1
10,0.2,-0.0,2.15,0.01,0.32,-0.0,-1.38,4.94,0.0,6.03,11.0,7.59,12.49,1.0,0.2,-0.79,-0.99,6.23,5.41,-1.65,-1.9,8.13,-1.02,-1.9,8.13,-1.02,0.0,0.0,0.0,75.8,4.4,47.7,-107.4,27.6,42.8,-156.0,4.0,25.0,-48.0,6.8,47.5,-101.9,4.7,-4.3,1.6,-7.7,-6.0,-18.7,-0.6,-1.1,6.6,-4.5,-6.7,7.2,2,1
12,0.24,-0.0,2.53,0.04,0.35,-0.0,-1.51,6.0,0.0,7.41,13.0,7.6,12.48,0.95,0.37,-0.92,-0.54,5.16,5.86,-2.82,-3.37,7.46,-1.4,-3.37,7.46,-1.4,0.0,212.4,0.0,47.0,13.8,44.2,-97.0,30.7,53.2,-156.0,-10.9,24.8,-48.0,-3.3,39.5,-91.7,-1.8,-0.1,5.0,-16.5,-19.8,16.4,3.9,0.6,3.8,3.9,-6.1,2.9,2,1
14,0.28,-0.0,2.9,0.05,0.38,-0.0,-1.72,7.03,0.0,8.64,15.0,7.62,12.47,0.94,-0.07,-0.42,0.61,-4.3,-0.94,-0.28,-1.31,-3.83,1.76,-1.31,-3.83,1.76,146.4,37.2,0.0,26.7,11.6,43.5,-86.4,41.1,59.5,-156.0,-7.0,33.8,-48.0,-3.9,31.0,-76.7,-4.6,-0.3,-9.4,-13.0,-22.1,24.2,12.6,8.6,22.8,-0.6,0.0,4.8,2,1
16,0.32,-0.0,3.28,0.05,0.41,-0.0,-1.96,8.09,0.0,9.87,17.0,7.65,12.46,0.96,-0.16,-0.47,0.85,-7.65,-3.87,-0.24,-0.87,-8.28,2.05,-0.87,-8.28,2.05,68.2,67.7,0.0,0.0,19.3,43.2,-96.1,42.0,44.5,-144.7,33.2,61.6,-48.0,4.8,29.4,-59.6,-19.5,-5.4,0.4,5.8,-18.5,22.9,3.3,1.2,22.8,8.9,-7.3,12.7,1,1
18,0.36,-0.0,3.65,0.05,0.44,-0.0,-2.32,9.19,0.0,11.0,19.0,7.68,12.44,0.99,-0.1,-0.8,1.16,0.21,-2.09,0.39,1.81,-1.1,-0.29,1.81,-1.1,-0.29,82.1,56.7,0.0,46.2,21.1,27.9,-82.2,47.2,25.3,-104.6,59.5,74.0,-48.0,16.3,25.0,-48.0,-18.9,1.2,7.1,5.7,9.2,21.4,6.1,-18.2,22.8,14.9,-8.1,22.8,3,1
20,0.4,-0.0,4.02,0.05,0.49,-0.0,-2.45,10.29,0.0,12.39,21.0,7.73,12.42,1.02,0.1,-0.93,0.97,2.27,-3.44,2.06,4.6,-0.14,0.18,4.6,-0.14,0.18,47.3,11.1,0.0,7.9,11.4,11.6,-57.7,46.9,10.0,-54.4,59.7,50.0,-48.0,34.6,22.6,-48.0,-15.1,1.6,9.1,6.7,18.4,17.4,5.9,-2.5,22.8,6.6,-6.2,22.8,3,1
22,0.44,-0.0,4.37,0.07,0.53,-0.0,-2.74,11.4,0.0,13.64,23.0,7.77,12.41,1.03,0.3,-0.95,0.51,1.64,-4.59,2.32,5.24,-1.29,-0.13,5.24,-1.29,-0.13,93.8,145.1,0.0,0.0,1.1,22.8,-48.0,37.0,22.2,-48.0,59.9,23.1,-48.0,53.8,10.4,-48.0,-17.8,-3.1,-3.3,11.3,18.0,22.8,5.3,5.4,22.8,-1.6,-2.6,22.8,5,1
24,0.48,-0.0,4.72,0.1,0.58,-0.0,-2.88,12.5,0.0,15.01,25.0,7.81,12.4,1.02,0.37,-1.06,0.1,2.25,-5.25,1.07,5.53,-0.73,-1.63,5.53,-0.73,-1.63,139.1,139.1,0.0,0.0,0.5,55.0,-48.2,40.8,52.2,-48.0,59.9,16.1,-48.0,59.9,-7.4,-48.0,-16.1,-7.6,-18.6,6.9,13.8,22.8,5.9,7.4,22.8,2.1,-5.3,22.8,6,1
26,0.52,-0.0,5.06,0.12,0.62,-0.0,-3.09,13.56,0.0,16.26,27.0,7.86,12.39,0.99,0.16,-1.26,-0.01,5.07,-4.41,1.75,6.79,1.43,-0.06,6.79,1.43,-0.06,103.9,103.9,0.0,0.0,-6.4,74.7,-69.6,44.0,74.4,-72.5,59.8,24.9,-48.0,60.0,-11.0,-48.0,-0.0,-1.0,-18.5,8.4,17.5,20.9,6.0,-7.3,22.8,2.1,-19.5,22.8,4,1
28,0.56,-0.0,5.39,0.12,0.65,-0.0,-3.46,14.28,-1.0,15.98,29.0,7.89,12.38,0.95,-0.18,-1.51,0.1,5.98,-4.86,2.87,8.1,1.27,0.7,8.1,1.27,0.7,0.0,0.0,0.0,0.0,-24.3,86.5,-109.7,50.9,94.9,-67.6,59.8,15.1,-48.0,60.0,-26.7,-48.0,15.5,-0.2,-13.4,-0.4,8.2,20.8,6.0,-6.5,22.8,2.2,-10.9,22.8,5,1
30,0.6,-0.0,5.72,0.12,0.67,-0.0,-3.91,14.98,-2.0,15.58,31.0,7.93,12.37,0.9,-0.56,-1.79,-0.03,0.93,-2.34,3.05,3.49,-1.86,-0.1,3.49,-1.86,-0.1,0.0,0.0,0.0,0.0,-1.7,73.1,-154.8,49.3,86.8,-48.0,59.9,-10.0,-48.0,60.0,-29.0,-48.0,8.1,-3.2,-5.1,5.5,16.3,16.4,6.0,4.7,22.8,1.9,-18.1,22.8,7,1
32,0.64,-0.0,6.04,0.12,0.68,-0.0,-4.14,15.38,-2.5,15.58,33.0,7.97,12.37,0.82,-1.01,-1.92,0.17,2.23,-3.35,3.28,5.03,-1.31,0.19,5.03,-1.31,0.19,0.0,0.0,0.0,0.0,46.4,38.3,-156.0,49.3,86.8,-48.0,59.9,-22.0,-48.0,60.0,-28.9,-48.0,-1.7,0.5,-14.5,5.9,8.8,15.2,6.0,4.5,22.8,2.0,-18.2,22.8,8,1
34,0.68,-0.0,6.35,0.12,0.52,-0.0,-4.36,15.78,-3.5,14.91,35.0,8.01,12.36,0.74,-1.5,-1.96,0.57,4.5,-3.25,3.08,6.0,-0.45,2.04,6.0,-0.45,2.04,0.0,0.0,0.0,0.0,57.4,16.4,-152.6,47.0,91.8,-66.2,59.6,-19.2,-48.0,59.8,-28.9,-48.0,-2.3,1.4,11.2,-5.9,-8.0,-16.2,0.3,4.5,22.8,2.0,-18.2,22.8,8,1
36,0.72,-0.0,6.66,0.12,-0.03,-0.0,-4.53,16.18,-4.5,13.89,37.0,8.05,12.35,0.64,-1.97,-1.81,1.2,5.33,-2.39,2.81,5.61,-0.45,3.22,5.61,-0.45,3.22,0.0,0.0,0.0,0.0,53.1,7.0,-112.6,22.9,74.5,-114.4,56.3,-7.3,-48.0,60.0,-29.1,-48.0,-0.9,4.2,3.6,2.3,-2.3,-11.3,-2.0,6.3,22.8,2.0,-6.7,20.5,5,1
38,0.76,-0.0,6.95,0.12,-1.03,-0.0,-4.78,16.59,-5.5,12.36,39.0,8.1,12.35,0.52,-2.19,-1.42,1.83,4.36,-2.67,2.04,4.91,0.31,2.47,4.91,0.31,2.47,0.0,0.0,0.0,0.0,44.5,13.7,-85.3,11.1,37.9,-156.0,51.8,16.2,-48.0,59.9,-28.7,-48.0,1.0,8.9,-1.6,1.2,5.6,-6.4,-1.2,4.9,22.8,-0.5,4.9,16.3,5,1
40,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55,12.51,1.14,-2.29,-0.91,2.4,4.05,-3.02,1.81,0.25,0.37,0.1,0.25,0.37,0.1,0.0,0.0,0.0,0.0,5.2,63.5,-111.0,-4.0,68.2,-121.1,4.9,85.1,-61.1,-8.0,64.6,-75.2,-1.3,5.4,-6.7,2.9,0.8,-19.7,-2.7,-0.3,22.8,-2.0,4.0,11.2,0,1
0,0.0,0.0,0.2,0.0,0.03,-0.0,-0.09,0.3,0.0,0.44,1.0,7.46,12.53,1.13,-0.19,0.38,-0.37,0.35,0.16,0.48,0.33,-0.18,0.48,0.33,-0.18,0.48,0.0,0.0,0.0,0.0,3.6,63.2,-105.4,-6.0,56.3,-81.1,7.4,82.3,-75.6,-6.8,62.1,-87.7,-1.7,-1.9,-2.4,-0.2,-2.8,1.0,0.4,-9.1,1.2,0.1,-2.5,-0.2,0,2
2,0.04,-0.0,0.59,0.0,0.1,-0.0,-0.21,0.89,0.0,1.38,3.0,7.47,12.54,1.11,-0.21,0.36,-0.75,0.26,0.6,0.64,0.62,0.15,0.65,0.62,0.15,0.65,0.0,0.0,0.0,0.0,5.8,52.6,-90.7,-6.8,48.5,-86.1,6.6,67.3,-81.1,-5.6,59.7,-86.6,0.0,1.4,-0.0,1.3,1.0,-2.8,-0.3,-0.8,0.4,1.2,-1.7,-1.8,0,2
4,0.08,-0.0,0.98,0.0,0.15,-0.0,-0.42,1.78,0.0,2.51,5.0,7.48,12.56,1.07,-0.17,0.41,-1.09,-2.34,0.02,0.31,-1.46,1.82,0.38,-1.46,1.82,0.38,0.0,114.3,0.0,0.0,8.7,49.8,-90.8,-4.4,42.6,-90.9,5.2,57.3,-85.3,-2.3,55.4,-85.4,-1.7,-0.1,-0.7,3.0,-8.4,15.9,1.3,2.9,5.7,-0.6,-0.2,4.1,0,2
6,0.12,-0.0,1.37,0.0,0.2,-0.0,-0.72,2.94,0.0,3.78,7.0,7.49,12.58,1.03,-0.22,0.64,-1.08,-5.18,-1.79,0.11,-4.67,2.85,0.3,-4.67,2.85,0.3,27.8,0.0,0.0,0.0,10.3,52.6,-102.4,-6.2,26.9,-82.2,13.4,53.9,-61.3,4.6,49.6,-66.4,-2.6,2.0,8.6,9.0,11.9,-11.9,-3.6,-11.3,6.9,2.0,-5.7,4.0,0,2
